,main_category,url
703,Not_working,answers.dlink.com
704,Autos_and_Vehicles,answers.footlocker.com
705,Not_working,answers.generac.com
706,Internet_and_Telecom,answers.google.com
707,Business_and_Industry,answers.hotshot.com
708,Not_working,answers.kohls.com
709,Not_working,answers.llnl.gov
710,Not_working,answers.macys.com
711,Internet_and_Telecom,answers.medchrome.com
712,Not_working,answers.mmgn.com
713,Not_working,answers.navitor.com
714,Not_working,answers.nrma.com.au
715,Not_working,answers.nuggetry.com
716,Not_working,answers.qvc.com
717,Not_working,answers.sensorysoftware.com
718,Computer_and_Electronics,answers.softonic.cn
719,Computer_and_Electronics,answers.softonic.com.br
720,Not_working,answers.softonic.it
721,Computer_and_Electronics,answers.softonic.jp
722,Computer_and_Electronics,answers.softonic.pl
723,Not_working,answers.sqlperformance.com
724,Not_working,answers.suretybonds.com
725,Not_working,answers.suunto.com
726,Not_working,answers.tassimodirect.com
727,Not_working,answers.ten-navi.com
728,Not_working,answers.toshiba.com
729,Not_working,answers.travian.cc
730,Games,answers.travian.com.au
731,Games,answers.travian.com.eg
732,Games,answers.travian.com.tr
733,Not_working,answers.travian.com.vn
734,Not_working,answers.travian.in
735,Not_working,answers.trine.edu
736,Not_working,answers.tutorvista.com
737,Not_working,answers.unity3d.com
738,Not_working,answers.wickes.co.uk
739,Internet_and_Telecom,answersbd.com
740,Computer_and_Electronics,antaira.com
741,Not_working,anthropologie.com
742,Computer_and_Electronics,anti-virus-download.com
743,Not_working,antiek-anresto.be
744,Reference,antiek-encyclopedie.nl
745,Arts_and_Entertainment,antiekendesignsimons.nl
746,Recreation_and_Hobbies,antieksite.nl
747,Shopping,antiekvalentijn.com
748,Books_and_Literature,antik-stafl.cz
749,Not_working,antik-starozitnosti.sk
750,Business_and_Industry,antikhaliyikama34.com
751,Shopping,antikhirdeto.hu
752,Business_and_Industry,antikkapi.com.tr
753,Recreation_and_Hobbies,antikorak.hu
754,Books_and_Literature,antikvarium.hu
755,Recreation_and_Hobbies,antique-passion.blogspot.com.es
756,Business_and_Industry,antiquedaredes.com.br
757,Shopping,antiquemoney.com
758,Not_working,antiquepowerland.com
759,Not_working,antiqueradio4.com
760,Recreation_and_Hobbies,antiqueradiorepairs.ca
761,Not_working,antiqueradios.org
762,Shopping,antiquestoves.us
763,Internet_and_Telecom,antisteam.ru
764,Computer_and_Electronics,antivirus-help.com
765,Shopping,anumex.com
766,Health,anxietybc.com
767,Not_working,anyanswers.net
768,Internet_and_Telecom,anype.com
769,Reference,anywho.com
770,Finance,anz.com
771,Computer_and_Electronics,anzhuoapk.com
772,Science,aoac.org
773,Not_working,aofoundation.org
774,Not_working,aolucky.net
775,Business_and_Industry,aorc.fr
776,Beauty_and_Fitness,aoro.ro
777,Not_working,aoyama-theater.jp
778,Books_and_Literature,ap.gov.in
779,Reference,ap.wroc.pl
780,Business_and_Industry,ap1.biz
781,Computer_and_Electronics,apabi.com
